long,lat,total,hr,mo,day
-73.981094,40.760391,2.302585092994046,3,Jun,Sun
-73.961472,40.774555,1.8718021769015913,21,Feb,Sat
-73.989044,40.748508,1.9459101490553132,19,Jun,Fri
-74.002907,40.744469,1.8718021769015913,17,Jun,Fri
-73.992134,40.725582,2.5649493574615367,21,Nov,Tue
-73.989853,40.767323,1.8671761085128091,22,Jun,Sat
-73.981544,40.771061,2.2512917986064953,19,Dec,Thu
-73.947418,40.779564,2.797281334830153,14,Oct,Sun
-73.980995,40.779968,2.151762203259462,22,Feb,Fri
-73.973244,40.760429,1.916922612182061,20,Feb,Fri
-73.981361,40.742249,3.2433732964685884,10,Nov,Sat
-73.979874,40.785622,2.6390573296152584,19,Oct,Sat
-73.977226,40.758465,3.481240089335692,23,Sep,Sat
-73.98896,40.721931,1.6094379124341003,1,Nov,Sat
-73.973274,40.743599,2.6390573296152584,22,Mar,Sat
-74.002388,40.715343,3.3603753871419,14,Oct,Sat
-73.967072,40.763943,2.833213344056216,21,Aug,Mon
-73.962357,40.778744,2.4423470353692043,16,Sep,Mon
-73.983017,40.762993,2.0794415416798357,0,Oct,Fri
-73.988136,40.7383,1.9459101490553132,10,May,Fri
-73.960571,40.775593,1.5040773967762742,14,Sep,Sat
-73.981903,40.752636,1.3862943611198906,11,Mar,Tue
-73.974152,40.645287,1.7047480922384253,3,Jul,Wed
-73.981567,40.741623,2.5649493574615367,18,May,Thu
-73.866226,40.771202,3.58351893845611,20,Dec,Fri
-74.00367,40.731964,1.791759469228055,9,Nov,Wed
-73.952271,40.784054,3.449987545831587,19,Jul,Fri
-73.986702,40.736752,2.1972245773362196,11,Oct,Sat
-73.976936,40.788055,1.9459101490553132,18,Oct,Wed
-73.989708,40.743122,1.6094379124341003,18,Oct,Fri
-73.95723,40.774612,1.916922612182061,20,Oct,Tue
-73.986618000000007,40.722439,1.9459101490553132,22,Feb,Mon
-73.999115,40.727737,3.1354942159291497,2,Oct,Sun
-73.991188,40.750282,2.272125885509337,21,Dec,Sat
-73.972847,40.759129,2.0149030205422647,18,Aug,Sat
-74.001549,40.722641,1.7047480922384253,13,Apr,Wed
-73.95137,40.770256,1.791759469228055,15,Dec,Mon
-73.981277,40.763084,2.2300144001592104,18,Jan,Tue
-73.960808,40.765686,1.7047480922384253,13,Oct,Mon
-73.962807,40.76284,1.9459101490553132,18,Apr,Wed
-73.983917,40.725552,2.33214389523559,4,Mar,Sat
-74.001549,40.722294,2.3978952727983707,21,May,Sun
-73.994507,40.741001,2.128231705849268,13,Dec,Tue
-73.963165,40.774853,2.772588722239781,14,Oct,Sat
-73.986481,40.745293,1.6094379124341003,17,Aug,Sun
-73.872948,40.774128,3.417726683613366,14,Mar,Thu
-73.786888,40.644295,3.8607297110405954,0,Mar,Sun
-73.962593,40.759106,3.3141860046725258,4,Jan,Sun
-73.989059,40.763481,3.295836866004329,4,Feb,Sun
-73.98587,40.722641,2.388762789235098,22,Nov,Fri
-73.985054,40.741844,2.2512917986064953,21,Sep,Thu
-73.967476,40.756447,0.9162907318741551,0,Mar,Sun
-73.976883,40.780327,2.4849066497880004,11,May,Sun
